Time,Open,High,Low,Close,Volume
2019.02.26 15:00:00,1.13637,1.1375,1.13543,1.13718,4192
2019.02.26 14:00:00,1.13638,1.13674,1.13606,1.13637,3279
2019.02.26 13:00:00,1.13634,1.13645,1.13541,1.13638,3152
2019.02.26 12:00:00,1.13669,1.13713,1.13617,1.13634,3454
2019.02.26 11:00:00,1.13544,1.13675,1.13543,1.13669,3041
2019.02.26 10:00:00,1.13494,1.13585,1.13452,1.13544,3696
2019.02.26 09:00:00,1.13493,1.13582,1.13474,1.13494,3038
2019.02.26 08:00:00,1.13587,1.1359,1.13488,1.13493,1275
2019.02.26 07:00:00,1.1358,1.13615,1.13555,1.13588,838
2019.02.26 06:00:00,1.13616,1.13641,1.13578,1.13579,584
2019.02.26 05:00:00,1.13629,1.1367,1.13601,1.13616,1142
2019.02.26 04:00:00,1.13564,1.13644,1.13563,1.1363,1322
2019.02.26 03:00:00,1.13608,1.13628,1.13538,1.13564,1422
2019.02.26 02:00:00,1.13643,1.1365,1.13603,1.13608,1139
2019.02.26 01:00:00,1.1359,1.13647,1.13569,1.13644,614
2019.02.26 00:00:00,1.13564,1.13659,1.13553,1.1359,1033
2019.02.25 23:00:00,1.13609,1.13617,1.13556,1.1356,446
2019.02.25 22:00:00,1.1364,1.1367,1.13608,1.1361,1737
2019.02.25 21:00:00,1.13551,1.13644,1.13537,1.1364,2040
2019.02.25 20:00:00,1.13474,1.13553,1.13441,1.13551,2415
2019.02.25 19:00:00,1.13442,1.1349,1.13364,1.13474,4903
2019.02.25 18:00:00,1.1346,1.13543,1.13431,1.13443,3961
2019.02.25 17:00:00,1.13517,1.13584,1.13398,1.13461,5472
2019.02.25 16:00:00,1.13543,1.13605,1.135,1.13516,4273
2019.02.25 15:00:00,1.1357,1.13593,1.13478,1.13542,3842
2019.02.25 14:00:00,1.13644,1.13644,1.13542,1.13569,2895
2019.02.25 13:00:00,1.13635,1.13671,1.13603,1.13644,2130
2019.02.25 12:00:00,1.13489,1.13671,1.13481,1.13635,2606
2019.02.25 11:00:00,1.13442,1.13524,1.13432,1.1349,2453
2019.02.25 10:00:00,1.13562,1.13567,1.13414,1.13443,3129
2019.02.25 09:00:00,1.13479,1.13585,1.13478,1.13562,2064
2019.02.25 08:00:00,1.13423,1.13495,1.13419,1.13479,1041
2019.02.25 07:00:00,1.13394,1.1343,1.13383,1.13423,917
2019.02.25 06:00:00,1.13433,1.13433,1.13393,1.13395,784
2019.02.25 05:00:00,1.13397,1.13437,1.13376,1.13434,1139
2019.02.25 04:00:00,1.13442,1.1345,1.13367,1.13397,2297
2019.02.25 03:00:00,1.13475,1.13489,1.13429,1.13442,1542
2019.02.25 02:00:00,1.13418,1.13478,1.13376,1.13475,894
2019.02.25 01:00:00,1.13355,1.13418,1.13345,1.13418,1462
2019.02.25 00:00:00,1.13332,1.13374,1.1327,1.13356,1268
2019.02.22 23:00:00,1.13317,1.1333,1.13293,1.13303,917
2019.02.22 22:00:00,1.13367,1.1338,1.13316,1.13317,2597
2019.02.22 21:00:00,1.1343,1.13437,1.13348,1.13367,2791
2019.02.22 20:00:00,1.1345,1.13481,1.1342,1.13431,2697
2019.02.22 19:00:00,1.13402,1.13546,1.13274,1.1345,4377
2019.02.22 18:00:00,1.13393,1.13446,1.13346,1.13402,3801
2019.02.22 17:00:00,1.13341,1.13552,1.13338,1.13393,6027
2019.02.22 16:00:00,1.13357,1.13428,1.13275,1.1334,5085
2019.02.22 15:00:00,1.13265,1.13383,1.13157,1.13357,5708
2019.02.22 14:00:00,1.1338,1.13383,1.13252,1.13265,2260
